88,Современные компьютерные технологии,СКТ,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
66,Основы экономических знаний,ОЭЗ,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
70,Психология и технологии социального взаимодействия,ПиТСВ,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
74,Низкоуровневое программирование,НП,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
76,Статические методы анализа данных,СМАД,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
89,Прямые и итерационные методы решения больших разреженных систем уравнений,ПиИМРБРСУ,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
90,Модели временных рядов,МВР,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
91,Объектно-ориентированные технологии разработки программного обеспечения,ООТРПО,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
11,Дискретная математика,ДМ,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
12,Теория вероятностей и математическая статистика ,ТВиМС,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
13,Дифференциальные уравнения,ДУ,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
14,Физика,Физ,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
16,Правоведение,П,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
21,Разработка web-приложений и распределенных информационных систем,РWПиРИС,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
22,Технологии разработки программного обеспечения,ТРПО,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
28,Создание современных кроссплатформенных приложений на основе web-технологий,ССКПнОWТ,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
29,Математические модели в естествознании,ММвЕ,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
33,Информационная безопасность,ИБ,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
34,Философия,Фил,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
43,Нейросети,НС,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
44,Численное решение начальных и краевых задач для обыкновенных дифференциальных уравнений,ЧРНиКЗдОДУ,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
49,Компьютерная графика,КГ,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
53,Основы криптографии,ОК,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
55,Разработка объектно-ориентированных программ с использованием С#/C++,РООПсИС#/C++,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
57,"Численное моделирование динамических систем, описываемых обыкновенными дифференциальными уравнениями",ЧМДСООДУ,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
60,Введение в архитектуру компьютера,ВвАК,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
61,Архитектура электронно-вычислительных машин и вычислительных систем,АЭВМиВС,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
64,Функциональный анализ,ФА,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
65,Математическая статистика,МС,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
67,Параллельное программирование,ПП,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
68,Социальные технологии,СТ,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
69,Организационная психология,ОП,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
71,Логическое программирование,ЛП,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
72,Системный анализ,СА,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
102,Моделирование стохастических и динамических систем,МСДС,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
86,Иностранный язык в профессиональной деятельности,ИЯвПД,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
87,Проектирование информационных систем,ПИС,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
92,Методы активной идентификации динамических систем ,МАИДС,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
93,Компьютерные технологии моделирования и анализа данных,КТМИАД,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
94,Современные технологии баз данных,СТБД,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
95,Межкультурное взаимодействие и коммуникация в профессиональной сфере,МВИКВПС,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
