437,4,2024-09-02,2,2024-12-23,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,55,54,15,1,,
440,6,2024-09-02,2,2024-12-23,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,2,1,12,1,,
441,6,2024-09-02,2,2024-12-23,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,94,1,12,1,,
442,1,2024-09-03,1,2024-12-24,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,94,58,17,1,,
443,1,2024-09-03,1,2024-12-24,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,99,58,17,1,,
444,2,2024-09-03,1,2024-12-24,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,94,58,16,1,,
14,5,2024-02-27,2,2024-03-19,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,33,47,25,2,,
15,5,2024-02-27,2,2024-03-19,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,95,47,25,2,,
16,5,2024-02-27,2,2024-03-19,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,33,47,26,2,,
5,5,2024-02-05,1,2024-06-03,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,33,26,20,2,,
17,5,2024-02-27,2,2024-03-19,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,95,47,26,2,,
26,7,2024-02-20,2,2024-02-20,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,33,47,25,2,,
27,7,2024-02-20,2,2024-02-20,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,95,47,25,2,,
28,7,2024-02-20,2,2024-02-20,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,33,47,26,2,,
29,7,2024-02-20,2,2024-02-20,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,95,47,26,2,,
22,6,2024-02-06,2,2024-03-19,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,33,47,25,2,,
23,6,2024-02-06,2,2024-03-19,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,95,47,25,2,,
24,6,2024-02-06,2,2024-03-19,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,33,47,26,2,,
25,6,2024-02-06,2,2024-03-19,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,95,47,26,2,,
65,6,2024-04-05,2,2024-05-31,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,46,88,30,2,,
2,3,2024-02-05,1,2024-06-03,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,118,9,5,2,,
445,2,2024-09-03,1,2024-12-24,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,99,58,16,1,,
446,4,2024-09-03,2,2024-12-24,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,2,1,10,1,,
447,4,2024-09-03,2,2024-12-24,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,94,1,10,1,,
448,5,2024-09-03,2,2024-12-24,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,2,1,11,1,,
449,5,2024-09-03,2,2024-12-24,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,94,1,11,1,,
450,1,2024-09-04,1,2024-12-25,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,94,58,18,1,,
451,1,2024-09-04,1,2024-12-25,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,99,58,18,1,,
452,2,2024-09-04,1,2024-12-25,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,94,58,19,1,,
453,2,2024-09-04,1,2024-12-25,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,99,58,19,1,,
454,3,2024-09-11,2,2024-12-18,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,26,27,19,1,,
455,4,2024-09-11,2,2024-12-18,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,26,27,21,1,,
456,5,2024-09-11,2,2024-12-18,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,26,27,20,1,,
457,3,2024-09-04,2,2024-12-25,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,60,52,17,1,,
458,1,2024-09-12,2,2024-12-19,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,2,105,31,1,,
459,2,2024-09-12,2,2024-12-19,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,2,105,31,1,,
460,4,2024-09-12,2,2024-10-24,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,60,52,16,1,,
461,1,2024-09-05,2,2024-12-26,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,4,104,31,1,,
462,2,2024-09-05,2,2024-12-26,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,4,104,31,1,,
463,4,2024-09-05,2,2024-12-26,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,31,37,12,1,,
464,5,2024-09-05,2,2024-12-26,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,31,37,15,1,,
465,2,2024-09-06,2,2024-12-27,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,3,2,43,1,,
466,3,2024-09-06,2,2024-12-27,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,3,2,42,1,,
467,2,2024-09-14,2,2024-12-21,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,3,2,42,1,,
468,3,2024-09-14,2,2024-12-21,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,3,2,43,1,,
8,6,2024-02-05,1,2024-06-03,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,33,26,19,2,,
9,6,2024-02-05,1,2024-06-03,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,33,26,21,2,,
10,6,2024-02-05,1,2024-06-03,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,61,26,19,2,,
11,6,2024-02-05,1,2024-06-03,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,61,26,21,2,,
12,2,2024-02-06,1,2024-06-04,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,3,2,1,2,,
13,3,2024-02-27,2,2024-03-19,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,26,30,24,2,,
687,2,2025-02-10,2,2025-06-16,2025-02-26 11:00:09.124+07,2025-02-26 11:00:09.124+07,2,1,8,1,Весенний,2025
44,5,2024-02-16,2,2024-03-29,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,16,88,28,2,,
45,5,2024-02-16,2,2024-03-29,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,46,88,28,2,,
46,5,2024-02-16,2,2024-03-29,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,16,88,29,2,,
47,5,2024-02-16,2,2024-03-29,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,46,88,29,2,,
48,5,2024-02-16,2,2024-03-29,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,16,88,30,2,,
49,5,2024-02-16,2,2024-03-29,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,46,88,30,2,,
50,2,2024-02-09,2,2024-03-05,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,23,67,22,2,,
51,2,2024-02-09,2,2024-03-05,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,125,67,22,2,,
52,2,2024-02-09,2,2024-03-05,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,23,67,23,2,,
53,2,2024-02-09,2,2024-03-05,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,125,67,23,2,,
54,3,2024-03-22,2,2024-03-05,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,23,67,22,2,,
55,3,2024-03-22,2,2024-03-05,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,125,67,22,2,,
56,3,2024-03-22,2,2024-03-05,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,23,67,23,2,,
57,3,2024-03-22,2,2024-03-05,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,125,67,23,2,,
58,4,2024-02-09,2,2024-05-31,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,31,89,29,2,,
59,4,2024-02-09,2,2024-05-31,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,31,89,30,2,,
60,6,2024-04-05,2,2024-05-31,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,16,88,28,2,,
61,6,2024-04-05,2,2024-05-31,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,46,88,28,2,,
62,6,2024-04-05,2,2024-05-31,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,16,88,29,2,,
63,6,2024-04-05,2,2024-05-31,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,46,88,29,2,,
64,6,2024-04-05,2,2024-05-31,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07,16,88,30,2,,
689,5,2025-02-10,2,2025-06-16,2025-02-26 11:36:10.637+07,2025-02-26 11:36:10.637+07,2,1,1,1,Весенний,2025
