2,ПМт,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
1,ТПИ,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
4,АиМЛ,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
5,ВМ,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
6,Выч.технол.,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
7,ИМ,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
8,ПВТ,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
3,TEST DEP,2024-05-04 11:13:25+07,2024-05-04 11:13:25+07
9,Фил.,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
10,Менедж.,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
11,Рус.яз.,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
